Город;Макрорегион;Интенсивность_конкуренции_1_5;Ключевые_дилерские_конкуренты;Сервисные_сети_конкуренты;Риск_бренд_оверлапа;Позиция_витрины_АГАТ;Угроза;Возможность
Нижний Новгород;Приволжье;5;"Автомир; Луидор; Нижегородец";"KOLOBOX; Fit Service; Чисто-Сервис; Тайм Сервис";"Средний (Chery/TENET/Skoda пересечения с Автомир; LADA/ГАЗ с Луидор)";"Сильная богатая витрина; штабной город";"Главный фронт: независимые сети (KOLOBOX/Fit) бьют ценой и бонусами; Автомир — age-скидками";"Усилить связку YouTube−10% + входной пакет; не давать KOLOBOX монополию на «диагностику бесплатно»"
Волгоград;Юг;5;"Арконт; Автопрестиж";"Fit Service; сети МС-сервисов";Высокий на китайских/мультибрендовых потоках;Сильная (HAVAL −25%), но Arcont агрессивнее на acquisition;Арконт: −40% новым / −50% гостям / проверка 899₽ / ТО от 5280 — жёсткий ценовой демпинг;"Пересобрать 1-й визит АГАТ под паритет с Арконт по легковому сегменту; не полагаться только на HAVAL"
Ростов-на-Дону;Юг;5;"Ключавто; Боравто; АвтоРитэйл";Fit Service;"Высокий (HAVAL/Toyota/китайцы у Ключавто; LADA/Geely/OMODA/JAECOO у Боравто)";Средняя витрина + масло 7900;Ценовое давление и бренд-перехлёст с Ключавто/Боравто;"Снизить/объяснить 7900; запустить локальный acquisition −20/−25%"
Ставрополь;Юг;4;"Боравто; Автопрестиж; Ключавто (регион)";Fit Service;Высокий по LADA/Geely/OMODA/JAECOO;"Средняя; Renault −40% на сложный ремонт";Прямой оверлап портфеля с Боравто;"Пакеты первого визита + «к жаре»; не ограничиваться Renault-акцией"
Минеральные Воды;Юг;3;"Автопрестиж; АвтоРитэйл";локальные СТО;Средний;Богатая: вечерний заезд + Jetour 10к;Конкуренция мягче, сильная дифференциация по удобству;"Масштабировать «вечерний заезд» как кейс Юга; работа с сезонной аудиторией курорта"
Саратов;Приволжье;4;"Лидер; Автомир";Fit Service;Высокий (Chery/TENET/коммерция у Лидер);Средняя + масло 7900;"Лидер сильнее в коммерции; Автомир в легковых";"Отдельная сервис-стратегия легковые vs LCV; не проигрывать на входном ТО"
Екатеринбург;Урал;5;"Автомир; Автобан; Уникум; Lucky Motors";"Fit Service; сети независимых";Высокий;Бедная витрина при жёсткой конкуренции — риск №1;Недоинвест в витрину на рынке с сильными дилерами;Срочно дотянуть витрину до «средней+»: 900₽ вход + −20% 1-й визит + сезон
Красноярск;Сибирь;3;"локальные/региональные дилеры; Медведь (регион)";Fit Service;Средний;Богатая (шины/Toyota);Fit бьёт массовым мультибрендом;"Удержать шиномонтаж/Toyota; добавить контент-скидку конверсия"
Абакан;Сибирь;4;Медведь Холдинг;Fit Service;Очень высокий (HAVAL/Geely/OMODA/JAECOO/Changan у Медведь);Бедная витрина + прямой бренд-конфликт;Медведь — зеркальный китайский портфель;"Нельзя оставлять федеральный минимум; нужен агрессивный сервис-пароль на постгарантию"
Ярославль;ЦФО;3;"Спектр-Авто; Автомир";локальные СТО;Средний (GAC у Спектр);Богатая сезонными пакетами 15к;Умеренная конкуренция;Закрепить «к жаре» как сезонный стандарт ЦФО
Владимир;ЦФО;3;Луидор;локальные СТО / Fit;Средний (LADA/ГАЗ);Бедная;Луидор давит коммерцией и сервисом ЛАРИНА-модели;Добавить входной оффер + купон ТО явно
Иваново;ЦФО;3;"Радар; Автоэкспресс";локальные;Средний;"Средняя; Toyota/Lexus от 5000";Точечные локалы;Использовать Toyota-коридор как дифференциатор
Киров;Приволжье;3;ТСК Мотор;локальные;Средний;Средняя близко к минимуму;Нет доминирующего федерального;Простой acquisition достаточно для роста share
Саранск;Приволжье;3;Луидор;KOLOBOX;Средний;Богатая (900₽ вход);KOLOBOX давит диагностикой/бонусами;"Паритет по «бесплатной диагностике»; держать 900₽ вход"
Астрахань;Юг;3;локальные дилеры;Fit Service;Средний;Средняя − / масло 7900;Цена масла выше базы без сильного локального усиления;Либо снизить тариф, либо добавить 1–2 ярких пакета
Сыктывкар;Северо-Запад;2;локальные;ограниченно;Низкий–средний;Бедная + 7900 = самострел;Слабая конкуренция, но витрина проигрывает сама себе;Быстрый фикс витрины даст непропорциональный эффект
